,countryCode,elevation_DEM,genus,lat,lon,species,bio1,bio3,bio4,bio7,bio12,bio15,.geo,geometry
2,CO,2940,Espeletia,4.849999229094105,-73.99999931652194,Espeletia corymbosa,1.175,79.2349624633789,2.9387691497802733,1.2200000762939454,1119.0,33.72581100463867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00006283117237,4.849998823949882]}",POINT (-73.99999931652194 4.849999229094105)
3,CO,2940,Espeletia,4.849999229094105,-73.99999931652194,Espeletia argentea,1.175,79.2349624633789,2.9387691497802733,1.2200000762939454,1119.0,33.72581100463867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00006283117237,4.849998823949882]}",POINT (-73.99999931652194 4.849999229094105)
4,CO,2940,Espeletia,4.849999229094105,-73.99999931652194,Espeletia grandiflora,1.175,79.2349624633789,2.9387691497802733,1.2200000762939454,1119.0,33.72581100463867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00006283117237,4.849998823949882]}",POINT (-73.99999931652194 4.849999229094105)
6,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia corymbosa,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
7,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
8,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
9,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
10,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
11,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia argentea,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
12,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia corymbosa,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
13,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
14,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia argentea,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
15,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
16,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
17,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia argentea,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
18,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
19,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
20,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia corymbosa,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
21,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
22,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia argentea,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
23,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
24,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia corymbosa,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
25,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia corymbosa,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
26,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
27,CO,3509,Espeletia,4.573998710290018,-74.03099898704549,Espeletia grandiflora,0.8320833206176758,80.94059753417969,3.222493362426758,1.009999942779541,1169.0,39.87054443359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0310547084745,4.5740363686683665]}",POINT (-74.03099898704549 4.573998710290018)
28,CO,3567,Espeletia,4.590113901497172,-73.76065260837719,Espeletia grandiflora,0.746666669845581,75.4208755493164,4.281744384765625,0.9899999618530273,1672.0,68.63715362548828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76075163948293,4.590206043782516]}",POINT (-73.76065260837719 4.590113901497172)
29,CO,3567,Espeletia,4.590113901497172,-73.76065260837719,Espeletia grandiflora,0.746666669845581,75.4208755493164,4.281744384765625,0.9899999618530273,1672.0,68.63715362548828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76075163948293,4.590206043782516]}",POINT (-73.76065260837719 4.590113901497172)
30,CO,3567,Espeletia,4.590113901497172,-73.76065260837719,Espeletia uribei,0.746666669845581,75.4208755493164,4.281744384765625,0.9899999618530273,1672.0,68.63715362548828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76075163948293,4.590206043782516]}",POINT (-73.76065260837719 4.590113901497172)
31,CO,3567,Espeletia,4.590113901497172,-73.76065260837719,Espeletia grandiflora,0.746666669845581,75.4208755493164,4.281744384765625,0.9899999618530273,1672.0,68.63715362548828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76075163948293,4.590206043782516]}",POINT (-73.76065260837719 4.590113901497172)
32,CO,3567,Espeletia,4.590113901497172,-73.76065260837719,Espeletia grandiflora,0.746666669845581,75.4208755493164,4.281744384765625,0.9899999618530273,1672.0,68.63715362548828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76075163948293,4.590206043782516]}",POINT (-73.76065260837719 4.590113901497172)
33,CO,3567,Espeletia,4.590113901497172,-73.76065260837719,Espeletia grandiflora,0.746666669845581,75.4208755493164,4.281744384765625,0.9899999618530273,1672.0,68.63715362548828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76075163948293,4.590206043782516]}",POINT (-73.76065260837719 4.590113901497172)
