geometry,cell_id,num_species,num_points,bio1_mean,bio3_mean,bio4_mean,bio7_mean,bio12_mean,bio15_mean,elevation_mean,index_right,Id,AH,NOMAH,ZH,NOMZH,SZH,NOMSZH,Area_Ha,sp_density,num_species_std,w_num_species_std,num_points_std,w_num_points_std,sp_density_std,w_sp_density_std
"POLYGON ((5006384.732940736 2695255.3356327564, 5006384.900400362 2694334.325098346, 5007297.02939273 2694334.5027179862, 5007296.838010252 2695255.513390122, 5006384.732940736 2695255.3356327564))",44467,1,2,1.0783333778381348,73.70689392089844,7.670288848876953,1.1600000381469726,1128.0,68.87519836425781,3119.0,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,1.1903777167560564e-06,-0.4834711282198113,0.18700706161183944,-0.13158666916196265,-0.10692578688849338,-0.45719437867541446,0.21894564749739964
"POLYGON ((5006384.900400362 2694334.325098346, 5006385.0677257115 2693413.315036525, 5007297.220621751 2693413.492518425, 5007297.02939273 2694334.5027179862, 5006384.900400362 2694334.325098346))",44751,2,5,1.0512499809265137,74.42029571533203,7.58324966430664,1.15,1108.0,59.87347412109375,3108.0,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,2.3806942398366474e-06,0.8499115468308588,-0.48347112821981136,-0.07753126472837145,-0.13513629969707375,0.8874517763941994,-0.4572059545345467
"POLYGON ((5004560.881719572 2692492.0216963897, 5004561.001045799 2691571.0127990795, 5005473.2014550995 2691571.1427503633, 5005473.058263601 2692492.1517487047, 5004560.881719572 2692492.0216963897))",45322,1,1,1.150416660308838,73.71794891357422,7.602207183837891,1.1699999809265136,1159.0,62.676856994628906,2955.0,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,1.1902866427471831e-06,-0.4834711282198113,-0.08710024454709112,-0.14960513730649305,-0.11070852168164155,-0.45729726081935157,-0.05750461290496428
"POLYGON ((5001824.400290956 2691570.7647103327, 5001824.447983061 2690649.7564774347, 5002736.672020086 2690649.8155002473, 5002736.600481921 2691570.8237790745, 5001824.400290956 2691570.7647103327))",45615,1,3,1.1725000381469726,73.47825622558594,7.46963653564453,1.15,1125.0,65.24492645263672,2990.0,314,POMCA_191,2,Magdalena Cauca,28,Cesar,2802,Medio Cesar,51968.0,1.1902567133624145e-06,-0.4834711282198113,-0.4834711282198113,-0.11356820101743226,-0.14960513730649305,-0.4573310706769586,-0.45729726081935157
"POLYGON ((4975208.047895231 2429107.7153943046, 4975207.552147642 2428186.8196092383, 4976125.795279603 2428186.334698762, 4976126.27266573 2429107.2299836427, 4975208.047895231 2429107.7153943046))",150163,1,1,1.0574999809265138,74.83660125732422,4.845335388183594,1.0199999809265137,1159.0,52.77374649047852,3169.0,156,POMCA_051,1,Caribe,16,Catatumbo,1605,Río Algodonal (Alto Catatumbo),234020.0,1.1825953443931213e-06,-0.4834711282198113,0.0,-0.14960513730649305,0.0,-0.465985768925176,0.0
"POLYGON ((5000000 2418050.395899987, 5000000 2417129.511351341, 5000918.455349354 2417129.520387175, 5000918.437220238 2418050.4049452674, 5000000 2418050.395899987))",156682,1,1,0.9449999809265136,80.61224365234375,3.729489517211914,0.9800000190734864,1089.0,50.366458892822266,3221.0,145,POMCA_049,1,Caribe,16,Catatumbo,1603,"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibú)",344479.0,1.182336372006071e-06,-0.4834711282198113,0.8499115468308588,-0.14960513730649305,-0.09554973287290185,-0.46627831819065635,0.8693013723787048
"POLYGON ((5000000 2417129.511351341, 5000000 2416208.6271632896, 5000918.473459162 2416208.6361896764, 5000918.455349354 2417129.520387175, 5000000 2417129.511351341))",157216,2,4,0.8979166984558106,80.46875,3.525609970092773,0.9600000381469728,1023.0,51.51301574707031,3311.0,145,POMCA_049,1,Caribe,16,Catatumbo,1603,"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibú)",344479.0,2.3646270196845077e-06,0.8499115468308588,-0.4834711282198113,-0.09554973287290185,-0.14960513730649305,0.8693013723787048,-0.46627831819065635
"POLYGON ((5050549.797759348 2384925.109136126, 5050550.756668475 2384004.208673157, 5051469.880927636 2384005.173898729, 5051468.9045819035 2384926.0754133044, 5050549.797759348 2384925.109136126))",176758,1,2,1.1741666793823242,80.9278335571289,3.877870941162109,0.9699999809265136,1024.0,49.47977066040039,2839.0,33,POMCA_285,3,Orinoco,37,Arauca,3701,Río Chítaga,248904.0,1.1814530609265607e-06,-0.4834711282198113,0.0,-0.13158666916196265,0.0,-0.4672761543323576,0.0
"POLYGON ((5013788.260060848 2377533.7533938703, 5013788.5192500325 2376612.8822213197, 5014707.755431221 2376613.149425205, 5014707.478962608 2377534.0208916133, 5013788.260060848 2377533.7533938703))",181499,2,4,0.6816666603088379,79.74909973144531,2.3192207336425783,0.9300000190734864,1056.0,54.84627914428711,3529.0,157,POMCA_048,1,Caribe,16,Catatumbo,1602,Río Zulia,342789.0,2.362696749616595e-06,0.8499115468308588,-0.48347112821981125,-0.09554973287290185,-0.13655950542225964,0.8671208345345794,-0.4674288004969431
"POLYGON ((5014707.478962608 2377534.0208916133, 5014707.755431221 2376613.149425205, 5015626.991915221 2376613.4338682084, 5015626.69816715 2377534.3056474347, 5014707.478962608 2377534.0208916133))",181500,1,2,0.7929166793823242,78.90625,2.378485679626465,0.9600000381469728,1040.0,52.78016662597656,3503.0,157,POMCA_048,1,Caribe,16,Catatumbo,1602,Río Zulia,342789.0,1.1813475832179608e-06,-0.4834711282198113,0.6280116296031444,-0.13158666916196265,-0.1045455672976057,-0.4673953076773413,0.6450118873763164
"POLYGON ((5023900.58578288 2375695.8945168843, 5023901.034042813 2374775.01975573, 5024820.309097577 2374775.4755869377, 5024819.843596446 2375696.3508505765, 5023900.58578288 2375695.8945168843))",182724,1,1,0.9625,79.93196868896484,2.65860595703125,0.9800000190734864,1055.0,59.63522338867188,3263.0,157,POMCA_048,1,Caribe,16,Catatumbo,1602,Río Zulia,342789.0,1.181293465723298e-06,-0.4834711282198113,0.0,-0.14960513730649305,0.0,-0.4674564417368197,0.0
